ID,Severity,Policy,CWE,OWASP,File,Line,Description
2d5310c7-8283-4e15-b604-6cf2914f8cc1,Critical,Unsanitized user input in deserialization method,CWE-502: Deserialization of Untrusted Data,"A08:2021 - Software and Data Integrity Failures, A08:2025 - Software or Data Integrity Failures",VulnerableExamples.java,75,It is bad practice to deserialize untrusted data without sufficient verification. Attackers can transfer payloads or malicious code via serialized data.
35ed3820-053f-4fa8-882f-5dc09454e7f8,High,Missing authentication for database,CWE-306: Missing Authentication for Critical Function,"A07:2021 - Identification and Authentication Failures, A07:2025 - Authentication Failures",VulnApp.java,28,Database is at high risk if it lacks proper authentication mechanisms.
0c9d3ebc-e85b-4bf4-918c-559f4f4e3bc2,High,Missing database password detected,CWE-306: Missing Authentication for Critical Function,"A07:2021 - Identification and Authentication Failures, A07:2025 - Authentication Failures",VulnApp.java,28,Leaving a database password empty exposes its data to unauthorized access and manipulation.
ccac7c00-56eb-47d3-ad82-60892c08d42b,High,Usage of ECB cipher mode,CWE-327: Use of a Broken or Risky Cryptographic Algorithm,"A02:2021 - Cryptographic Failures, A04:2025 - Cryptographic Failures",WeakDESExample.java,14,ECB cipher mode encrypts identical plaintext blocks into identical ciphertext blocks making it vulnerable to pattern analysis.
e9815308-86b7-46c4-add2-1d4f6bfd1108,High,Usage of weak encryption algorithm (DES),CWE-327: Use of a Broken or Risky Cryptographic Algorithm,"A02:2021 - Cryptographic Failures, A04:2025 - Cryptographic Failures",WeakDESExample.java,16,Use of DES (Data Encryption Standard) a weak encryption algorithm that can lead to data breaches.
d6c043ea-ca5c-4452-84c5-7c18b9c5fe75,High,Missing or permissive SSL hostname verifier,CWE-295: Improper Certificate Validation,"A07:2021 - Identification and Authentication Failures, A07:2025 - Authentication Failures",HttpClientInsecure.java,17,Failure to verify hostname exposes application to Man-in-the-Middle attacks.
1bb6e197-b2d4-4d94-8959-d969581ffbfa,High,Missing TLS validation,CWE-295: Improper Certificate Validation,"A07:2021 - Identification and Authentication Failures, A07:2025 - Authentication Failures",HttpClientInsecure.java,23,Code is vulnerable to MitM attacks due to missing TLS certificate validation and use of deprecated DefaultHttpClient.
d3406a17-3526-4bb0-9fbb-09b62fb8f854,High,Missing or permissive SSL hostname verifier,CWE-295: Improper Certificate Validation,"A07:2021 - Identification and Authentication Failures, A07:2025 - Authentication Failures",HttpClientInsecure.java,24,Failure to verify hostname exposes application to Man-in-the-Middle attacks.
5d6980c2-0d7a-45b5-a925-bd2295f3724c,High,Missing or permissive SSL hostname verifier,CWE-295: Improper Certificate Validation,"A07:2021 - Identification and Authentication Failures, A07:2025 - Authentication Failures",HttpClientInsecure.java,27,Failure to verify hostname exposes application to Man-in-the-Middle attacks.
27e9c722-31fd-4d2b-9627-f6f2d26671fc,High,Missing authentication for database,CWE-306: Missing Authentication for Critical Function,"A07:2021 - Identification and Authentication Failures, A07:2025 - Authentication Failures",SQLInjectionVuln.java,20,Database is at high risk if it lacks proper authentication mechanisms.
444f2efb-5fe1-45eb-b807-2e9ee28b0ff9,High,Missing database password detected,CWE-306: Missing Authentication for Critical Function,"A07:2021 - Identification and Authentication Failures, A07:2025 - Authentication Failures",SQLInjectionVuln.java,20,Leaving a database password empty exposes its data to unauthorized access and manipulation.
4e13af2d-63f5-4962-946f-0a9676310535,High,Missing database password detected,CWE-306: Missing Authentication for Critical Function,"A07:2021 - Identification and Authentication Failures, A07:2025 - Authentication Failures",SQLInjectionVuln.java,45,Leaving a database password empty exposes its data to unauthorized access and manipulation.
a12dfe82-b901-4b97-8e0f-c632bb05b943,High,Missing database password detected,CWE-306: Missing Authentication for Critical Function,"A07:2021 - Identification and Authentication Failures, A07:2025 - Authentication Failures",SQLInjectionVuln.java,45,Leaving a database password empty exposes its data to unauthorized access and manipulation.
76beed50-fdc4-4d0d-ac7c-6ecd8162b18c,High,Missing authentication for database,CWE-306: Missing Authentication for Critical Function,"A07:2021 - Identification and Authentication Failures, A07:2025 - Authentication Failures",SQLInjectionVuln.java,84,Database is at high risk if it lacks proper authentication mechanisms.
6f6dd072-d39e-4460-a547-fb6cc03aff88,High,Missing database password detected,CWE-306: Missing Authentication for Critical Function,"A07:2021 - Identification and Authentication Failures, A07:2025 - Authentication Failures",SQLInjectionVuln.java,84,Leaving a database password empty exposes its data to unauthorized access and manipulation.
4dbe5870-1588-4762-8c1b-0264b11d237c,High,Missing authentication for database,CWE-306: Missing Authentication for Critical Function,"A07:2021 - Identification and Authentication Failures, A07:2025 - Authentication Failures",SQLInjectionVuln.java,103,Database is at high risk if it lacks proper authentication mechanisms.
6f6dd072-d39e-4460-a547-fb6cc03aff88-2,High,Missing database password detected,CWE-306: Missing Authentication for Critical Function,"A07:2021 - Identification and Authentication Failures, A07:2025 - Authentication Failures",SQLInjectionVuln.java,103,Leaving a database password empty exposes its data to unauthorized access and manipulation.
7b26222d-284d-4749-89ba-61f6fb4935c1,High,Missing authentication for database,CWE-306: Missing Authentication for Critical Function,"A07:2021 - Identification and Authentication Failures, A07:2025 - Authentication Failures",VulnerableExamples.java,31,Database is at high risk if it lacks proper authentication mechanisms.
aa389ca0-491b-4c8a-baf0-e86974a20a9d,High,Missing database password detected,CWE-306: Missing Authentication for Critical Function,"A07:2021 - Identification and Authentication Failures, A07:2025 - Authentication Failures",VulnerableExamples.java,31,Leaving a database password empty exposes its data to unauthorized access and manipulation.
4171d35c-1812-4cba-b7a2-634eb83dc806,High,Usage of ECB cipher mode,CWE-327: Use of a Broken or Risky Cryptographic Algorithm,"A02:2021 - Cryptographic Failures, A04:2025 - Cryptographic Failures",VulnerableExamples.java,48,ECB cipher mode encrypts identical plaintext blocks into identical ciphertext blocks making it vulnerable to pattern analysis.
07290723-c724-4513-a8b2-93f93a0bf045,Medium,Usage of weak hashing library (MD5),CWE-328: Use of Weak Hash,"A02:2021 - Cryptographic Failures, A04:2025 - Cryptographic Failures",VulnApp.java,175,MD5 is vulnerable to collision attacks compromising data integrity and security.
